id,wordEn,pos,cefrLevel,fromOxford,rank,frequency,difficultyScore,phoneticUs,phoneticUk,phoneticAr,translit,syllabify,definitionEn,definitionAr,usageNote,category,primarySense,semanticTags,register,mnemonicAr,examples,collocations,synonyms,antonyms,relatedWords,wordFamily,arabicAr,frenchFr,germanDe,spanishEs,chineseZh,russianRu,portuguesePt,japaneseJa,italianIt,turkishTr,unitId,stratum,in_ielts
825,fight,noun,A2,1,825,3,3,faɪt,,فايْت,Qital / Shijar,,A violent confrontation or struggle against someone or something.,خناقة أو صراع بين طرفين، ممكن يكون بالإيد أو بالكلام أو حتى ضد مرض.,Use 'fight' for physical combat or arguments; 'struggle' implies difficulty without necessarily violence.,Actions & Processes,Event,"[""#Conflict"", ""#Battle"", ""#Action""]",Neutral,كلمة 'Fight' قريبة من 'فايت'.. هو 'فايت' في خناقة كبيرة.,"{""A1"": ""I saw a fight at school."", ""A2"": ""They had a big fight about money."", ""B1"": ""The fight against cancer is difficult."", ""B2"": ""The boxer won the fight in the first round."", ""C1"": ""She put up a good fight but lost the election."", ""C2"": ""The soldiers were weary from the prolonged fight.""}","[""pick a fight"", ""fist fight"", ""fight back""]","[""battle"", ""conflict"", ""struggle"", ""brawl"", ""clash""]","[""peace"", ""agreement""]","{""en"": [""fighter"", ""fighting""], ""ar"": [""مقاتل"", ""قتال""]}","{""noun"":""fight"",""verb"":""fight"",""adj"":""fighting""}",قتال / شجار,combat,Kampf,lucha,战斗 (zhàndòu),драка,luta,戦い (Tatakai),lotta,kavga,A2_03,CEFR_A2,False
2150,express,adj,A2,1,2150,4,6,ɪkˈsprɛs,ɪkˈspres,إِكْسْبْرِس,Sarie / Sarih,ex•press,Operating at high speed; or clearly stated.,حاجة سريعة ومباشرة زي القطار السريع، أو حاجة واضحة وصريحة.,Used for transport (express train) or clarity (express purpose).,Social Life & Communication,Attribute,"[""#Speed"", ""#Transport"", ""#Clear""]",Neutral,الـ 'Express' سريع زي الـ 'Press' 'الصحافة' بتنشر الأخبار بسرعة.,"{""A1"": ""I took the express bus."", ""A2"": ""It is an express service."", ""B1"": ""He came for the express purpose of seeing you."", ""B2"": ""Please send this by express mail."", ""C1"": ""It was his express wish to be cremated."", ""C2"": ""The contract contains an express provision for termination.""}","[""express train"", ""express delivery"", ""express permission""]","[""rapid"", ""fast"", ""explicit"", ""clear""]","[""slow"", ""vague""]","{""en"": [""expression"", ""expressway""], ""ar"": [""تعبير"", ""طريق سريع""]}","{""noun"": ""express"", ""verb"": ""express"", ""adj"": ""express"", ""adv"": ""expressly""}",سريع / صريح,express,Express-,expreso,特快 (tèkuài),экспресс,expresso,急行 (Kyūkō),espresso,ekspres,A2_11,CEFR_A2,True
3847,sink,verb,B1,1,3847,4,6,sɪŋk,,سِنْك,Ḥawḍ / Gharaq / Ḥafr / Bāllū'a,,To go down below the surface of a liquid; to submerge.,يعني يغرق أو ينزل تحت سطح الميه. وممكن تيجي بمعنى ينخفض أو يهبط.,"Irregular verb: sink, sank, sunk. Used for objects (ships) or abstractly (hearts sank).",Objects & Tools,Movement,"[""#Water"", ""#Down"", ""#Failure""]",Neutral,السفينة لما بتغرق بنقول عليها 'Sink'.. افتكر التايتنيك وهي بتعمل 'Sinking'.,"{""A1"": ""Stones sink in water."", ""A2"": ""The ship began to sink."", ""B1"": ""The sun started to sink below the horizon."", ""B2"": ""My heart sank when I heard the bad news."", ""C1"": ""They decided to sink their differences and work together."", ""C2"": ""The company could sink into bankruptcy if sales don't improve.""}","[""heart sank"", ""sink or swim"", ""sink into""]","[""submerge"", ""descend"", ""drop"", ""go down""]","[""float"", ""rise"", ""surface""]","{""en"": [""sinking"", ""sunken""], ""ar"": [""غرق"", ""غارق""]}","{""noun"":""sink"",""verb"":""sink"",""adj"":""sunken""}",حوض / غرق / حفر / بالوعة,couler,sinken,hundirse,下沉 (xiàchén),тонуть,afundar,沈む (shizumu),affondare,batmak,B1_14,CEFR_B1,False
3232,expand,verb,B1,1,3232,4,7,ɪkˈspænd,,إكْسْبَانْد,Yuwassiʿ / Yatamaddad,ex•pand,"To become larger in size, number, or amount.",إن الحاجة تكبر أو توسع في الحجم أو العدد.. زي لما تنفخ بالونة أو تفتح فروع جديدة للشركة.,"Used for physical growth (balloon) and abstract growth (business, knowledge).",Travel & Movement,Change,"[""#Growth"", ""#Business"", ""#Size"", ""#Increase""]",Neutral,كلمة 'Expand' فيها شبه من 'Pants' 'بنطلون'.. لما تاكل كتير بتحتاج 'Expand' الـ 'Pants' بتاعك.,"{""A1"": ""The balloon expands when you blow into it."", ""A2"": ""We need to expand the table for more guests."", ""B1"": ""The company plans to expand into Europe."", ""B2"": ""Metals expand when they get hot."", ""C1"": ""Reading helps to expand your vocabulary."", ""C2"": ""The universe continues to expand at an accelerating rate.""}","[""expand business"", ""expand rapidly"", ""expand knowledge""]","[""enlarge"", ""grow"", ""extend"", ""widen""]","[""shrink"", ""contract"", ""reduce""]","{""en"": [""expansion"", ""expanse"", ""expansive""], ""ar"": [""توسع"", ""مساحة"", ""توسعي""]}","{""noun"":""expansion"",""verb"":""expand"",""adj"":""expandable""}",يوسع / يتمدد,étendre,erweitern,expandir,扩大 (Kuòdà),расширять,expandir,拡大する (Kakudai suru),espandere,genişletmek,B1_12,CEFR_B1,False
1559,totally,adv,B1,1,1559,4,7,ˈtoʊ.t̬əl.i,ˈtəʊ.təl.i,تُوتَلي,Tamaman,to•tal•ly,Completely; absolutely; used to emphasize a statement or agreement.,يعني تماماً أو كلياً.. بنستخدمها لما نكون موافقين جداً أو بنأكد على حاجة.,Often used in spoken English to mean 'I agree' or 'definitely'.,General / Common,Quantity,"[""#Emphasis"", ""#Degree"", ""#Adverb"", ""#Agreement""]",Neutral,جاية من 'Total' 'المجموع'.. لما تدفع الـ 'Total' يبقى دفعت الحساب 'Totally' وكله تمام.,"{""A1"": ""I totally agree with you."", ""A2"": ""The house was totally destroyed."", ""B1"": ""I forgot totally about the meeting."", ""B2"": ""It was a totally different experience from what I expected."", ""C1"": ""She is totally committed to the project's success."", ""C2"": ""The premise of his argument is totally flawed.""}","[""totally different"", ""totally agree"", ""totally wrong""]","[""completely"", ""entirely"", ""wholly"", ""fully""]","[""partially"", ""slightly""]","{""en"": [""total"", ""whole"", ""complete"", ""absolute""], ""ar"": [""مجموع"", ""كامل"", ""مكتمل"", ""مطلق""]}","{""noun"": ""total"", ""verb"": ""total"", ""adj"": ""total"", ""adv"": ""totally""}",تماماً,totalement,völlig,totalmente,完全 (Wánquán),полностью,totalmente,完全に (Kanzen ni),totalmente,tamamen,B1_05,CEFR_B1,False
2961,ugly,adj,B1,1,2961,4,6,ˈʌɡli,,أَجْلِي,Qabīḥ,ug•ly,Unpleasant to look at; not attractive.,حاجة شكلها وحش ومش مريح للعين.,"Can also describe a situation involving violence or bad feelings (e.g., 'an ugly scene').",General / Common,Attribute,"[""#Appearance"", ""#Bad"", ""#Unpleasant""]",Neutral,,"{""A1"": ""The building is ugly."", ""A2"": ""It was an ugly dog."", ""B1"": ""He wore an ugly sweater."", ""B2"": ""The wound looks ugly."", ""C1"": ""The meeting turned ugly with shouting and threats."", ""C2"": ""The ugly truth about the scandal was finally revealed.""}","[""ugly face"", ""ugly scene"", ""ugly duckling""]","[""unattractive"", ""unsightly"", ""hideous""]","[""beautiful"", ""pretty"", ""attractive""]","{""en"": [""bad"", ""nasty"", ""gross""], ""ar"": [""سيء"", ""مقرف"", ""بشع""]}","{""noun"":""ugliness""}",قبيح,laid,hässlich,feo,丑陋的 (Chǒulòu de),уродливый,feio,醜い (Minikui),brutto,çirkin,B1_11,CEFR_B1,False
6497,fireplace,noun,B1,0,6497,5,7,ˈfaɪərpleɪs,,فَايَرْبْلَيس,Midfaʾa,fire•place,A space in a wall at the base of a chimney where a fire can be lit.,المكان اللي بنولع فيه النار جوه البيت عشان نتدفى 'المدفأة الحجرية'.,"Usually implies a traditional open hearth, not an electric heater.",Objects & Tools,Object,"[""#Home"", ""#Heat"", ""#Winter"", ""#Fire""]",Neutral,'Fire' 'نار' + 'Place' 'مكان'.. المكان اللي بنولع فيه النار جوه البيت.,"{""A1"": ""The cat sleeps by the fireplace."", ""A2"": ""We have a fireplace in the living room."", ""B1"": ""They lit a fire in the fireplace."", ""B2"": ""The old house features a stone fireplace."", ""C1"": ""We gathered around the fireplace telling stories."", ""C2"": ""The mantle above the fireplace was adorned with family heirlooms.""}","[""electric fireplace"", ""brick fireplace"", ""clean the fireplace""]","[""hearth"", ""grate"", ""chimney""]",[],"{""en"": [""fire"", ""chimney"", ""hearth"", ""wood""], ""ar"": [""نار"", ""مدخنة"", ""موقد"", ""خشب""]}","{""noun"":""fire""}",مدفأة,cheminée,Kamin,chimenea,壁炉 (bìlú),камин,lareira,暖炉 (danro),camino,şömine,B1_20,CEFR_B1,False
878,vote,verb,B1,1,878,3,4,voʊt,,فُوت,Yuṣawwit / Yantakhib,,To express a choice or opinion in an election or meeting.,إنك تختار شخص أو قرار في انتخابات أو اجتماع.,Usually followed by 'for' or 'against'.,Actions & Processes,Action,"[""#Politics"", ""#Action"", ""#Decision""]",Neutral,,"{""A1"": ""I vote for him."", ""A2"": ""We voted in class today."", ""B1"": ""Did you vote in the last election?"", ""B2"": ""They voted against the new law."", ""C1"": ""Employees voted to go on strike."", ""C2"": ""The committee voted unanimously to approve the budget.""}","[""vote for"", ""vote against"", ""vote in favor""]","[""elect"", ""choose"", ""select""]","[""abstain""]","{""en"": [""election"", ""voter"", ""poll""], ""ar"": [""انتخابات"", ""ناخب"", ""استطلاع""]}","{""noun"":""vote"",""verb"":""vote""}",يصوت / ينتخب,voter,wählen,votar,投票 (Tóupiào),голосовать,votar,投票する (Tōhyō suru),votare,oy vermek,B1_02,CEFR_B1,False
1734,request,verb,B1,1,1734,4,7,rɪˈkwɛst,,رِكْوِسْت,Yatlub,re•quest,To ask politely or formally for something.,تطلب حاجة بأدب أو بشكل رسمي.,"Followed directly by the object (request something), not 'request for something'.",Social Life & Communication,Communication,"[""#Politeness"", ""#Formal"", ""#Asking""]",Formal,لما تـ 'Request' 'تطلب' أغنية في الراديو، المذيع بيذيعها.,"{""A1"": ""I request a seat."", ""A2"": ""She requested a glass of water."", ""B1"": ""They requested more information."", ""B2"": ""Guests are requested not to smoke."", ""C1"": ""He requested that the meeting be postponed."", ""C2"": ""The pilot requested permission to land.""}","[""request permission"", ""request help"", ""kindly request""]","[""ask for"", ""solicit"", ""seek""]","[""reject"", ""deny""]","{""en"": [""require""], ""ar"": [""يتطلب""]}","{""noun"":""request"",""verb"":""request""}",يطلب,demander,anfordern,solicitar,请求 (Qǐngqiú),запрашивать,solicitar,頼む (Tanomu),richiedere,rica etmek,B1_06,CEFR_B1,True
937,election,noun,B1,1,937,3,5,ɪˈlɛkʃən,,إِلَكْشَن,Intikhab / Intikhabat,elec•tion,A formal group process where people vote to choose a person for a political job or position.,عملية التصويت عشان نختار شخص لمنصب معين، زي انتخابات الرئاسة أو مجلس الشعب.,"Commonly used with verbs like 'hold', 'win', or 'lose'.",Actions & Processes,Process,"[""#Voting"", ""#Politics"", ""#Democracy""]",Neutral,كلمة 'Select' يعني يختار.. والـ 'Election' هي العملية اللي بنعمل فيها 'Selection' للمرشحين.,"{""A1"": ""The election is next week."", ""A2"": ""Who won the election yesterday?"", ""B1"": ""People voted in the general election to choose a new leader."", ""B2"": ""The candidates debated important issues before the election."", ""C1"": ""Voter turnout was surprisingly low during the municipal election."", ""C2"": ""The integrity of the democratic process relies heavily on fair and transparent elections.""}","[""general election"", ""presidential election"", ""win an election"", ""election campaign""]","[""poll"", ""vote"", ""ballot""]",[],"{""en"": [""elect"", ""voter"", ""campaign"", ""ballot""], ""ar"": [""ينتخب"", ""ناخب"", ""حملة"", ""بطاقة اقتراع""]}","{""noun"":""electorate"",""verb"":""elect"",""adj"":""electoral""}",انتخاب / انتخابات,élection,Wahl,elección,选举 (Xuǎnjǔ),выборы,eleição,選挙 (Senkyo),elezione,seçim,B1_02,CEFR_B1,False
2780,aim,noun,B1,1,2780,4,5,eɪm,,إيْم,Hadaf,,A result that your plans or actions are intended to achieve.,الهدف اللي إنت عايز توصله أو تحققه من اللي بتعمله.,Similar to 'goal' or 'target'.,Mind & Thinking,Concept,"[""#Goal"", ""#Target"", ""#Purpose"", ""#Ambition""]",Neutral,الـ 'Aim' بتاعك إيه من المشروع؟ يعني هدفك إيه.,"{""A1"": ""My aim is to learn."", ""A2"": ""His aim was true."", ""B1"": ""Our main aim is quality."", ""B2"": ""She achieved her aim of becoming a doctor."", ""C1"": ""The aim of this study is to investigate the effects."", ""C2"": ""His political aims were never fully realized.""}","[""main aim"", ""achieve an aim"", ""take aim"", ""primary aim"", ""stated aim""]","[""goal"", ""purpose"", ""objective"", ""intent""]",[],"{""en"": [""target"", ""ambition"", ""plan""], ""ar"": [""هدف"", ""طموح"", ""خطة""]}","{""noun"": ""aim"", ""verb"": ""aim"", ""adj"": ""aimless"", ""adv"": ""aimlessly""}",هدف,but,Ziel,objetivo,目的 (Mùdì),цель,alvo,目的 (Mokuteki),scopo,amaç,B1_09,CEFR_B1,False
3803,pleasant,adj,B1,1,3803,4,6,ˈplezənt,,پْلِزَنْت,Laṭīf / Sārr,pleas•ant,Giving a sense of happy satisfaction or enjoyment.,حاجة لطيفة ومريحة للأعصاب وبتخليك مبسوط.,"Can describe people, places, weather, or experiences.",General / Common,Attribute,"[""#Happy"", ""#Comfort"", ""#Nice"", ""#Weather""]",Neutral,جاية من 'Please' 'يسعد'.. الحاجة الـ 'Pleasant' بتعملك سعادة ورضا.,"{""A1"": ""Have a pleasant day."", ""A2"": ""The weather is very pleasant today."", ""B1"": ""It was a pleasant surprise to see her."", ""B2"": ""He is a very pleasant young man."", ""C1"": ""We spent a pleasant afternoon walking in the park."", ""C2"": ""The room had a pleasant, albeit slightly musty, odor.""}","[""pleasant surprise"", ""pleasant atmosphere"", ""pleasant evening"", ""pleasant weather""]","[""nice"", ""agreeable"", ""enjoyable"", ""delightful""]","[""unpleasant"", ""nasty"", ""horrible""]","{""en"": [""please"", ""pleasure"", ""pleasing"", ""happy""], ""ar"": [""يسعد"", ""متعة"", ""ممتع"", ""سعيد""]}","{""noun"": ""pleasantness"", ""verb"": ""please"", ""adj"": ""pleasant"", ""adv"": ""pleasantly""}",جذاب / سار,agréable,angenehm,agradable,令人愉快的 (Lìng rén yúkuài de),приятный,agradável,楽しい (Tanoshii),piacevole,hoş,B1_13,CEFR_B1,False
4463,fairy,noun,B1,0,4463,4,6,ˈfɛɹi,ˈfeərɪ,فَيْرِي,Jinniyyah,,A small imaginary being of human form that has magical powers.,كائن خيالي صغير غالبًا بيبقى عنده جناحات وقوى سحرية، بيظهر في قصص الأطفال.,Often associated with 'tales' (fairy tales).,General / Common,Object,"[""#Magic"", ""#Fantasy"", ""#Story"", ""#Myth""]",Neutral,'Fairy' و 'Fair' 'جميل'.. غالبًا الـ 'Fairy' بتكون جميلة وطيبة في القصص.,"{""A1"": ""The fairy can fly."", ""A2"": ""She read a fairy tale."", ""B1"": ""The tooth fairy left a coin under my pillow."", ""B2"": ""The children dressed up as fairies for the party."", ""C1"": ""Folklore is full of stories about fairies and goblins."", ""C2"": ""The ethereal quality of the music suggested the presence of fairies.""}","[""fairy tale"", ""tooth fairy"", ""fairy godmother"", ""fairy wings""]","[""sprite"", ""pixie"", ""elf"", ""nymph""]",[],"{""en"": [""magic"", ""wing"", ""story"", ""fantasy""], ""ar"": [""سحر"", ""جناح"", ""قصة"", ""خيال""]}","{""noun"":""fairy""}",جِنِّيَّة,fée,Fee,hada,仙女 (Xiānnǚ),фея,fada,妖精 (Yōsei),fata,peri,B1_15,CEFR_B1,False
2171,wave,verb,B1,1,2171,4,6,weɪv,,وَيْڤ,Yulawwiḥ / Yatamawwaj,,"To move one's hand back and forth as a greeting or signal, or to move with an undulating motion.",يعني تحرك إيدك يمين وشمال عشان تشاور لحد، أو لما البحر يعمل موجات وتتحرك.,Commonly used for greetings ('wave hello') or physical movement ('flag waving').,General / Common,Movement,"[""#Gesture"", ""#Ocean"", ""#Motion"", ""#Greeting""]",Neutral,اربطها بكلمة 'Way' 'طريق'.. وأنت ماشي في الـ 'Way' بتعمل 'Wave' بإيدك لصحابك.,"{""A1"": ""I wave to my mom every morning."", ""A2"": ""She waved goodbye from the train window."", ""B1"": ""The red flag waved in the wind."", ""B2"": ""The crowd waved their hands in the air to the music."", ""C1"": ""A feeling of panic waved over him suddenly."", ""C2"": ""The politician waved aside the difficult questions from the press.""}","[""wave goodbye"", ""wave a hand"", ""huge wave"", ""heat wave""]","[""signal"", ""gesture"", ""flap"", ""flutter""]",[],"{""en"": [""ocean"", ""tide"", ""current"", ""signal""], ""ar"": [""محيط"", ""مد"", ""تيار"", ""إشارة""]}","{""noun"":""wave"",""verb"":""wave"",""adj"":""wavy""}",يلوّح / يتموّج,faire signe,winken,saludar con la mano,挥手 (Huīshǒu),махать,acenar,手を振る (Te o furu),salutare,el sallamak,B1_07,CEFR_B1,False
2052,plenty,noun,B1,1,2052,4,6,ˈplɛnti,,بْلِنْتي,Wafra / Kathir,plen•ty,A large amount; as much as you need or more.,كمية كبيرة، أو وفرة من الشيء، أكتر من اللي محتاجه.,Usually followed by 'of' (plenty of time). Used in positive contexts.,General / Common,Quantity,"[""#Amount"", ""#Abundance"", ""#Supply""]",Neutral,كلمة 'Plenty' تشبه 'Plane' 'طيارة'.. الطيارة دايماً فيها 'Plenty' of seats 'مقاعد كتير'.,"{""A1"": ""We have plenty of food."", ""A2"": ""Don't rush, there is plenty of time."", ""B1"": ""There are plenty of opportunities for young people."", ""B2"": ""Make sure you drink plenty of water."", ""C1"": ""Despite the drought, there was plenty in the storehouses."", ""C2"": ""They lived in a land of peace and plenty.""}","[""plenty of time"", ""plenty of room"", ""plenty of money"", ""plenty of water"", ""horn of plenty""]","[""abundance"", ""lots"", ""wealth"", ""profusion""]","[""scarcity"", ""lack"", ""shortage""]","{""en"": [""plentiful"", ""enough"", ""sufficient"", ""ample""], ""ar"": [""وفير"", ""كاف"", ""كثير"", ""وافر""]}","{""noun"":""plentitude"",""adj"":""plentiful"",""adv"":""plentifully""}",وفرة / كثير,beaucoup,Fülle,abundancia,丰富 (Fēngfù),множество,abundância,豊富 (Hōfu),abbondanza,bolluk,B1_06,CEFR_B1,False
806,cool,verb,B1,1,806,3,4,kul,kuːl,كُول,Yubarrid / Yahdaʾ,,To become lower in temperature or to become calmer.,يعني تبرد حاجة سخنة، أو تهدي حد متعصب.,Often used with 'down' (cool down).,General / Common,Change,"[""#Temperature"", ""#Emotion"", ""#Weather""]",Neutral,الفعل من 'Cool'.. يعني يخلي الحاجة 'Cool' 'باردة'.,"{""A1"": ""Let the soup cool."", ""A2"": ""The wind helped to cool the room."", ""B1"": ""I need to cool down after my run."", ""B2"": ""You should wait for his anger to cool."", ""C1"": ""Relations between the two countries have cooled recently."", ""C2"": ""The government took measures to cool the overheating economy.""}","[""cool down"", ""cool off"", ""cooling system""]","[""chill"", ""calm"", ""refrigerate""]","[""heat"", ""warm"", ""agitate""]","{""en"": [""chill"", ""freeze"", ""calm""], ""ar"": [""يجمد"", ""يهدئ"", ""تبريد""]}","{""noun"":""cooler"",""verb"":""cool"",""adj"":""cool""}",يبرد / يهدأ,refroidir,abkühlen,enfriar,冷却 (Lěngquè),остужать,esfriar,冷やす (Hiyasu),raffreddare,soğutmak,B1_02,CEFR_B1,False
6603,gardener,noun,B1,0,6603,5,7,ˈɡɑrdnər,ˈɡɑːdnə,جَارْدْنَر,Bustani / Bustany,gar•den•er,A person who tends and cultivates a garden.,الشخص اللي بيزرع ويهتم بالجنينة والورد.,Can be a job or a hobby.,General / Common,Person,"[""#Nature"", ""#Jobs"", ""#Plants""]",Neutral,من 'Garden'.. الـ 'Gardener' هو اللي عايش في الـ 'Garden'.,"{""A1"": ""The gardener waters the plants."", ""A2"": ""My father is a good gardener."", ""B1"": ""We hired a gardener to cut the grass."", ""B2"": ""The head gardener manages the estate grounds."", ""C1"": ""She is an enthusiastic amateur gardener."", ""C2"": ""The landscape gardener designed a beautiful Japanese garden.""}","[""landscape gardener"", ""keen gardener"", ""head gardener""]","[""horticulturist"", ""landscaper""]",[],"{""en"": [""garden"", ""gardening""], ""ar"": [""حديقة"", ""بستنة""]}","{""noun"":""gardener"",""verb"":""garden"",""adj"":""gardening""}",بستاني,jardinier,Gärtner,jardinero,园丁 (Yuándīng),садовник,jardineiro,庭師 (Niwashi),giardiniere,bahçıvan,B1_20,CEFR_B1,False
3670,export,verb,B1,1,3670,4,7,ɪkˈspɔɹt,ɪkˈspɔːt,إِكْسْبُورت,Yuṣaddir,ex•port,To send goods to another country for sale.,يبعث بضاعة لبلد تانية عشان يبيعها هناك.,Stress on the SECOND syllable (ex-PORT) for the verb.,Objects & Tools,Action,"[""#Trade"", ""#Shipping"", ""#Economy""]",Neutral,عكس 'Import' 'يستورد'.. 'Ex' يعني يخرج.. يبقى 'Export' يصدر.,"{""A1"": ""They export cars."", ""A2"": ""We export fruit to other countries."", ""B1"": ""The company exports 50% of its production."", ""B2"": ""They hope to export their technology worldwide."", ""C1"": ""The nation exports raw materials and imports finished goods."", ""C2"": ""Attempts to export democracy to the region have failed.""}","[""export goods"", ""export to"", ""export worldwide""]","[""sell abroad"", ""ship overseas""]","[""import""]","{""en"": [""exporter"", ""exportation"", ""import""], ""ar"": [""مُصَدِّر"", ""تصدير"", ""استيراد""]}","{""noun"":""export"",""verb"":""export"",""adj"":""exportable""}",يصدّر,exporter,exportieren,exportar,出口 (Chūkǒu),экспортировать,exportar,輸出する (Yushutsu suru),esportare,ihraç etmek,B1_13,CEFR_B1,False
777,performance,noun,B1,1,777,3,6,pəˈfɔːɹ.məns,,بَرْفورْمَنْس,Adā',per•for•mance,"The act of presenting a play or concert, or how well a person or machine does a task.",يعني أداء، سواء كان عرض مسرحي أو موسيقي، أو حتى مستوى الشغل اللي بتقدمه في وظيفتك.,"Can refer to artistic shows or technical efficiency (e.g., high-performance car).",Social Life & Communication,Action,"[""#Show"", ""#Work"", ""#Efficiency"", ""#Art""]",Neutral,عشان تعمل 'Performance' 'أداء' عالي في الجيم، لازم تكون في الـ 'Form' 'الفورمة'.,"{""A1"": ""The band gave a good performance."", ""A2"": ""I enjoyed the theater performance."", ""B1"": ""His performance at work has improved."", ""B2"": ""The car is known for its high performance."", ""C1"": ""We need to evaluate the performance of the new software."", ""C2"": ""The economic performance of the country exceeded expectations.""}","[""high performance"", ""live performance"", ""performance review"", ""poor performance""]","[""show"", ""presentation"", ""functioning"", ""execution""]","[""failure""]","{""en"": [""perform"", ""performer"", ""stage"", ""act""], ""ar"": [""يؤدي"", ""مؤدي"", ""مسرح"", ""فعل""]}","{""noun"":""performance"",""verb"":""perform"",""adj"":""performing""}",أداء,performance,Leistung,rendimiento,表现 (Biǎoxiàn),представление,desempenho,パフォーマンス (Pafōmansu),prestazione,performans,B1_02,CEFR_B1,True
3253,flood,verb,B1,1,3253,4,6,flʌd,,فْلَد,Yafīḍ / Yaghmar,,To cover with water; to arrive in large numbers.,يغرق المكان بالماية، أو لما حاجات كتير تيجي مرة واحدة 'زي الرسايل أو الناس'.,Transitive (flood the room) or Intransitive (the river flooded).,Nature & Science,Action,"[""#Disaster"", ""#Water"", ""#Action"", ""#Quantity""]",Neutral,زي الاسم 'Flood'.. الفعل معناه إن الماية تغرق الدنيا أو الناس تهجم زي الطوفان.,"{""A1"": ""The rain flooded the street."", ""A2"": ""Don't flood the engine."", ""B1"": ""The river might flood if it rains more."", ""B2"": ""Light flooded into the room when I opened the curtains."", ""C1"": ""Refugees flooded across the border."", ""C2"": ""Cheap imports have flooded the market.""}","[""flood the market"", ""flood with light"", ""river floods"", ""flood back""]","[""inundate"", ""swamp"", ""overflow"", ""submerge""]","[""dry up"", ""drain""]","{""en"": [""flow"", ""pour"", ""surge""], ""ar"": [""يتدفق"", ""يصب"", ""يندفع""]}","{""noun"":""flood"",""adj"":""flooded""}",يفيض / يغمر,inonder,überfluten,inundar,淹没 (Yānmò),затоплять,inundar,氾濫する (Hanran suru),inondare,su basmak,B1_12,CEFR_B1,True
2707,sharp,adj,B1,1,2707,4,5,ʃɑːp,ʃɑːp,شَارْب,Ḥādd,,Having an edge or point that is able to cut or pierce something.,حاجة حامية أو مسنونة بتقطع كويس، أو شخص ذكي ونبيه.,"Can describe objects (knife), pain (sharp pain), or intellect (sharp mind).",Social Life & Communication,Attribute,"[""#Edge"", ""#Cut"", ""#Pain"", ""#Smart""]",Neutral,اربطها بـ 'Shark' 'قرش'.. سنان الـ 'Shark' بتبقى 'Sharp' 'حادة' جداً.,"{""A1"": ""This knife is sharp."", ""A2"": ""Be careful, the edge is sharp."", ""B1"": ""I felt a sharp pain in my leg."", ""B2"": ""The meeting starts at 9:00 sharp (exactly)."", ""C1"": ""She has a sharp tongue and can be critical."", ""C2"": ""There was a sharp contrast between their lifestyles.""}","[""sharp knife"", ""sharp pain"", ""sharp mind"", ""look sharp""]","[""keen"", ""acute"", ""pointed"", ""cutting"", ""intelligent""]","[""dull"", ""blunt"", ""stupid"", ""mild""]","{""en"": [""sharpen"", ""sharpness"", ""sharply"", ""cut""], ""ar"": [""يسن"", ""حدة"", ""بحدة"", ""يقطع""]}","{""noun"":""sharpness"",""verb"":""sharpen"",""adv"":""sharply""}",حاد,tranchant,scharf,afilado,锋利的 (Fēnglì de),острый,afiado,鋭い (Surudoi),affilato,keskin,B1_10,CEFR_B1,False
2165,native,adj,B1,1,2165,4,6,ˈneɪ.tɪv,,نايْتِف,Maḥallī / Aṣlī,na•tive,Associated with the place where a person was born.,أصلي أو محلي، زي لما تقول دي لغتي الأم 'Native language' أو ده موطني الأصلي.,"Can describe people, plants, animals, or languages.",General / Common,Attribute,"[""#Origin"", ""#Place"", ""#Birth"", ""#Local""]",Neutral,جاية من 'Nation' أمة.. الـ 'Native' هو ابن الأمة أو البلد الأصلي.,"{""A1"": ""He is a native speaker of English."", ""A2"": ""This animal is native to Australia."", ""B1"": ""She returned to her native country."", ""B2"": ""The native population welcomed the visitors."", ""C1"": ""He displayed a native wit that charmed everyone."", ""C2"": ""The plant is not native to this region and is considered invasive.""}","[""native speaker"", ""native language"", ""native country"", ""native land""]","[""indigenous"", ""local"", ""original"", ""homegrown""]","[""foreign"", ""alien"", ""immigrant""]","{""en"": [""nation"", ""nature"", ""born"", ""origin""], ""ar"": [""أمة"", ""طبيعة"", ""مولود"", ""أصل""]}","{""noun"":""native"",""adj"":""native"",""adv"":""natively""}",أصلي / محلي,natal,einheimisch,nativo,本地的 (Běndì de),родной,nativo,地元の (Jimoto no),nativo,yerli,B1_07,CEFR_B1,False
